station_nm,Latitude,Longitude,site_no,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,cluster
89365393,43.62390286,-73.84358297,273,193,260,280,204,325,1.042372881,0.728744939,1.278571429,0.705159705,1.198757764,1.776595745,0.006401366,1
89365393,43.62590054,-73.84400213,274,195,248,274,186,313,1.06006006,0.735880399,1.31661442,0.716763006,1.235555556,1.796747967,0.006966214,5
89365393,43.62939647,-73.84279817,281,191,265,287,205,344,1.057291667,0.743190661,1.328445748,0.69873817,1.247154472,1.811926606,0.006402433,1
91152749,45.1539988,-71.17027608,1081,322,276,277,215,305,0.977332637,0.776471719,1.121433914,0.788439414,1.133467761,1.422499815,0.005042175,4
91152907,45.08680014,-71.25219869,1048,314,261.5,256,187,287,0.96703396,0.714832203,1.122394185,0.763500482,1.139403072,1.491860512,0.00560862,4
91153185,45.03890048,-71.31809974,1032,303,243,234,173,291,0.985685072,0.738916256,1.278074866,0.763313609,1.292929293,1.698564593,0.006384204,4
92081293,44.74934429,-73.82186269,872,294,281.5,289,204,306.5,1.008625579,0.704560176,1.088344022,0.715722213,1.067311773,1.483834663,0.005153546,1
92083087,44.12990381,-73.58049601,545,186,250.5,262,183,316,1.054884845,0.729372345,1.240864865,0.688712375,1.17251642,1.749045802,0.006871441,1
92083789,43.46517224,-73.64823421,178,196,316,317,219.5,323.5,0.995398389,0.686024588,1.039550639,0.683626708,1.022984208,1.496965953,0.004500084,1
92083789,43.52261884,-73.66746186,198,201,333,330,224,337,0.986486486,0.66507177,1.019138756,0.67989418,1.033950617,1.544303797,0.004471378,1
92083789,43.65389923,-73.49880082,304,249,306,290,183,320,0.946808511,0.59922179,1.067524116,0.634529148,1.129151292,1.768488746,0.005492234,1
92083789,43.80639603,-73.45398239,415,398,323,344,211,340.5,1.034814159,0.626078694,1.057977864,0.597647343,1.017982055,1.810750585,0.005291004,1
92797659,43.70744412,-71.50614003,342,431,256,283,178,332,1.094736842,0.720867209,1.347857662,0.667857143,1.226141079,1.869791667,0.007123356,1
92797659,43.72094628,-71.51284652,353,517,243,255,170,291,1.012158055,0.694915254,1.200956938,0.678832117,1.165745856,1.764044944,0.006840463,1
92797659,43.7260029,-71.53866918,361,513,246,249,167,278,1.008797654,0.683615819,1.149377593,0.675824176,1.12755102,1.691394659,0.006525965,1
92797659,43.73057794,-71.56196798,371,527,248,260,174,297,1.025,0.709511568,1.218281037,0.679054054,1.167785235,1.703296703,0.006420134,1
92797659,43.73633909,-71.5840004,374,567,262,277,189,346,1.06097561,0.732142857,1.362132353,0.686567164,1.246153846,1.84496124,0.007039366,5
92797659,43.74008474,-71.54319516,377,568,272.5,270.5,180,275.5,1.028043898,0.702456761,1.050125628,0.673326026,1.016010852,1.501428571,0.005607158,1
92797659,43.74217606,-71.55522582,378,564,268.5,277.5,182.5,299.5,1.027422819,0.703117675,1.123836658,0.680217391,1.075891869,1.613955932,0.006009804,1
92797659,43.74325516,-71.51277964,380,543,258,253,166,269,1.005602241,0.666666667,1.048632219,0.669421488,1.034810127,1.544642857,0.005543237,1
92797659,43.75088468,-71.50422708,387,561,266,266,178,291,1.008196721,0.697247706,1.107913669,0.671264368,1.092682927,1.662921348,0.006031996,1
92797659,43.7641951,-71.53888767,392,550,280.5,271.5,181.5,274.5,1.008641287,0.678838455,1.025015635,0.6855392,1.01475558,1.546222192,0.00539872,1
92797659,43.7648595,-71.53769263,393,550,284,278.5,193.5,286,1.008045729,0.689449241,1.050136651,0.680795395,1.017787165,1.512736583,0.005330109,1
92797659,43.76527866,-71.51177634,394,563,264,267,173,270,1.009118541,0.68957346,1.019886364,0.676855895,1.017094017,1.510040161,0.005542862,1
92797659,43.76752605,-71.50996594,395,564,272,268,178,276,1.01342887,0.691638608,1.053762773,0.677746086,1.040646446,1.537009651,0.005572846,1
92797659,43.76800317,-71.48266733,396,578,253.5,263,172,305.5,1.06002608,0.695131476,1.285179192,0.664351956,1.208644146,1.867945466,0.007148008,1
92797659,43.77442874,-71.51662338,398,576,255,260,169.5,296,1.022504122,0.673913043,1.195667461,0.654232965,1.158173968,1.804444929,0.006911996,1
92797659,43.78138939,-71.48027725,403,557,257,256,171,307,1.025830258,0.692234848,1.248847926,0.665217391,1.205741627,1.862416107,0.007040086,1
92797659,43.78308385,-71.51574494,404,578,248,259.5,176,327.5,1.044759785,0.75,1.376386431,0.70212766,1.289071567,1.864352941,0.007422652,5
92797749,43.71840013,-71.61208382,350,413,249,262,166,313,1.027272727,0.658536585,1.321637427,0.638461538,1.256637168,2.024242424,0.007804764,1
92797749,43.71980475,-71.61483508,352,436,242,249,159,319,1.028562272,0.651601627,1.365638515,0.643184777,1.313990182,2.103583916,0.008115575,1
92797749,43.72219929,-71.59971427,357,424,254,261,170,307.5,1.013454606,0.658116883,1.226056837,0.651428074,1.200757663,1.86703313,0.006930764,1
92797749,43.72750116,-71.59033232,367,501,250,262,171,320,1.027932961,0.678638941,1.296296296,0.661290323,1.253571429,1.924418605,0.007406118,1
92797923,43.62348371,-71.73791073,271,371,265,266,180,310,1.015151515,0.683937824,1.206703911,0.683823529,1.191304348,1.772151899,0.00647037,1
92797923,43.64465106,-71.78212272,294,362,259.5,257,177,298,0.983156179,0.679622452,1.161632653,0.685322896,1.169945303,1.747959184,0.006562113,1
