system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,dissPermID,img_qual,included_RF,lat,loc_rowid,lon,nd_median,pixel_qa_median,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_LT05_012029_19840518_00000000000000000302,260.0,16,275.0,239.0,250.0,64.0,2786.0,22.0,5.0,0,1984-05-18,91152907,7.0,y,45.086800144187215,1048,-71.25219868806437,-0.6224188790560472,68.0,0.0,LANDSAT_5,130.761963,32.929779,19.0,36.0,
1_LT05_012029_19840518_00000000000000000303,276.0,16,328.0,323.0,386.0,183.0,2792.0,123.0,5.0,0,1984-05-18,152430225,7.0,y,45.08861499831596,1049,-69.93386992071416,-0.2837573385518591,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_00000000000000000304,253.0,16,279.0,243.0,287.0,112.0,2776.0,90.0,5.0,0,1984-05-18,118180530,7.0,y,45.08870863943809,1050,-70.71083260646866,-0.37254901960784315,68.0,0.0,LANDSAT_5,130.761963,32.929779,10.0,32.0,
1_LT05_012029_19840518_00000000000000000307,299.0,15,333.0,355.0,421.0,206.0,2816.0,157.0,5.0,0,1984-05-18,103458874,7.0,y,45.098407184229345,1054,-69.68168546063652,-0.23562152133580705,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_00000000000000000308,300.0,17,313.0,303.0,322.0,159.0,2771.0,89.0,5.0,0,1984-05-18,118180530,7.0,y,45.103905255828245,1056,-70.73760504919355,-0.326271186440678,68.0,0.0,LANDSAT_5,130.761963,32.929779,13.0,32.0,
1_LT05_012029_19840518_0000000000000000030b,315.0,15,366.0,325.0,421.0,230.0,2802.0,157.0,5.0,0,1984-05-18,103458874,7.0,y,45.10804776070689,1059,-69.65790953381953,-0.27972027972027974,68.0,0.0,LANDSAT_5,130.761963,32.929779,8.0,0.0,
1_LT05_012029_19840518_0000000000000000030f,332.0,16,394.0,351.0,453.0,182.0,2826.0,90.0,5.0,0,1984-05-18,152429645,7.0,y,45.12310168586332,1064,-69.30390150118647,-0.3680555555555556,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,36.0,
1_LT05_012029_19840518_00000000000000000314,334.0,15,429.0,381.0,488.0,230.0,2831.0,190.0,5.0,0,1984-05-18,103458592,7.0,y,45.142472020839485,1074,-69.37733397733462,-0.26282051282051283,66.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_00000000000000000317,262.0,16,276.0,242.0,287.0,88.0,2792.0,56.0,5.0,0,1984-05-18,118180498,7.0,y,45.14844721625111,1077,-70.98397038239644,-0.5588972431077694,68.0,0.0,LANDSAT_5,130.761963,32.929779,11.0,32.0,
1_LT05_012029_19840518_00000000000000000318,262.0,16,283.0,243.0,286.0,111.0,2797.0,22.0,5.0,0,1984-05-18,91152749,7.0,y,45.15399879706265,1081,-71.17027608351046,-0.4365482233502538,68.0,0.0,LANDSAT_5,130.761963,32.929779,22.0,36.0,
